Date,cases,cases old
12-Jan-20,0,0
13-Jan-20,0,0
14-Jan-20,0,3
15-Jan-20,0,2
16-Jan-20,0,1
17-Jan-20,0,1
18-Jan-20,0,2
19-Jan-20,0,2
20-Jan-20,0,5
21-Jan-20,0,2
22-Jan-20,0,3
23-Jan-20,0,1
24-Jan-20,1,5
25-Jan-20,0,5
26-Jan-20,3,1
27-Jan-20,0,2
28-Jan-20,0,3
29-Jan-20,0,3
30-Jan-20,0,7
31-Jan-20,2,4
01-Feb-20,1,10
02-Feb-20,0,9
03-Feb-20,3,4
04-Feb-20,0,1
05-Feb-20,0,4
06-Feb-20,0,6
07-Feb-20,0,4
08-Feb-20,0,5
09-Feb-20,0,5
10-Feb-20,0,11
11-Feb-20,1,9
12-Feb-20,0,11
13-Feb-20,1,10
14-Feb-20,0,17
15-Feb-20,0,16
16-Feb-20,0,12
17-Feb-20,0,26
18-Feb-20,0,26
19-Feb-20,0,33
20-Feb-20,0,41
21-Feb-20,2,47
22-Feb-20,0,36
23-Feb-20,0,62
24-Feb-20,0,109
25-Feb-20,0,92
26-Feb-20,0,126
27-Feb-20,1,128
28-Feb-20,0,207
29-Feb-20,8,170
01-Mar-20,6,441
02-Mar-20,23,413
03-Mar-20,25,466
04-Mar-20,20,530
05-Mar-20,66,600
06-Mar-20,47,794
07-Mar-20,64,946
08-Mar-20,147,1470
09-Mar-20,225,2505
10-Mar-20,290,2739
11-Mar-20,278,3543
12-Mar-20,414,5480
13-Mar-20,267,6916
14-Mar-20,338,7818
15-Mar-20,1237,9496
16-Mar-20,755,11381
17-Mar-20,2797,9497
18-Mar-20,3419,9431
19-Mar-20,4777,11087
20-Mar-20,3528,13231
21-Mar-20,5836,13020
22-Mar-20,8821,13477
23-Mar-20,10934,15208
24-Mar-20,10115,11117
25-Mar-20,13987,11505
26-Mar-20,16916,16287
27-Mar-20,17965,15455
28-Mar-20,19332,14855
29-Mar-20,18251,14753
30-Mar-20,22635,15942
31-Mar-20,22562,11648
01-Apr-20,27043,11219
02-Apr-20,26135,16092
03-Apr-20,34864,15618
04-Apr-20,30683,13968
05-Apr-20,26065,11663
06-Apr-20,43438,10886
07-Apr-20,20682,6183
08-Apr-20,32449,4176
09-Apr-20,31705,4177
10-Apr-20,33251,1363
11-Apr-20,33288,339
12-Apr-20,29145,182
13-Apr-20,24242,102
14-Apr-20,26527,19
15-Apr-20,26930,0
16-Apr-20,29164,
17-Apr-20,29836,
18-Apr-20,29895,
19-Apr-20,26543,
20-Apr-20,29468,
21-Apr-20,26490,
22-Apr-20,25858,
23-Apr-20,37144,
24-Apr-20,30181,
25-Apr-20,32853,
26-Apr-20,29256,
27-Apr-20,23371,
28-Apr-20,23901,
29-Apr-20,25512,
30-Apr-20,31787,
01-May-20,30269,
02-May-20,29794,
03-May-20,29763,
04-May-20,19138,
05-May-20,22303,
06-May-20,25253,
07-May-20,28974,
08-May-20,25996,
09-May-20,26660,
10-May-20,23792,
11-May-20,,
