Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New,
Western Pacific Region,China,42708,2482,1017,108,,
Western Pacific Region,Japan,26,0,0,0,,
Western Pacific Region,Republic of Korea,28,1,0,0,,
Western Pacific Region,Viet Nam,15,1,0,0,,
Western Pacific Region,Singapore,45,2,0,0,,
Western Pacific Region,Australia,15,0,0,0,,
Western Pacific Region,Malaysia,18,0,0,0,,
Western Pacific Region,Cambodia,1,0,0,0,,
Western Pacific Region,Philippines,3,0,1,0,,
South-East Asia Region,Thailand,33,1,0,0,,
South-East Asia Region,Napal,1,0,0,0,,
South-East Asia Region,Sri Lanka,1,0,0,0,,
South-East Asia Region,India,3,0,0,0,,
Region of the Americas,United States of America,13,1,0,0,,
Region of the Americas,Canada,7,0,0,0,,
European,France,11,0,0,0,,
European,Finland,1,0,0,0,,
European,Germany,14,0,0,0,,
European,Italy,3,0,0,0,,
European,Russian Federation,2,0,0,0,,
European,Spain,2,0,0,0,,
European,Sweden,1,0,0,0,,
European,United Kingdom,8,4,0,0,,
European,Belgium,1,0,0,0,,
Eastern Mediterranean,United Arab Emirates,8,1,0,0,,
Other,International Coveyance,135,65,0,0,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
