Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,81601,103,3276,9,
Western Pacific,Republic of Korea,8961,64,111,7,
Western Pacific,Australia,1396,315,7,0,
Western Pacific,Malaysia,1306,123,10,7,
Western Pacific,Japan,1089,43,41,5,
Western Pacific,Singapore,455,23,2,0,
Western Pacific,Philippines,380,73,25,6,
Western Pacific,Viet Nam,113,19,0,0,
Western Pacific,New Zealand,102,36,0,0,
Western Pacific,Brunei Darussalam,88,5,0,0,
Western Pacific,Cambodia,84,31,0,0,
Western Pacific,Mongolia,10,0,0,0,
Western Pacific,Fiji,2,0,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,27,12,1,1,
Western Pacific Territories,French Polynesia,17,2,0,0,
Western Pacific Territories,New Caledonia,5,1,0,0,
European,Italy,59138,5560,5476,649,
European,Spain,28572,3646,1720,394,
European,Germany,24774,3311,94,27,
European,France,15821,1525,674,112,
European,Switzerland,6971,894,60,4,
European,The United Kingdom,5687,669,281,48,
European,Netherlands,4204,573,179,43,
European,Austria,3631,607,16,8,
European,Belgium,3401,586,75,8,
European,Norway,2132,206,7,0,
European,Sweden,1906,160,21,1,
European,Portugal,1600,320,14,2,
European,Denmark,1395,69,13,0,
European,Turkey,1236,289,30,9,
European,Czechia,1165,170,1,1,
European,Israel,1071,188,1,0,
European,Ireland,906,121,4,1,
European,Luxembourg,798,128,8,0,
European,Poland,634,98,7,2,
European,Finland,626,105,1,0,
European,Greece,624,94,15,2,
European,Iceland,568,95,1,0,
European,Russian Federation,438,132,0,0,
European,Romania,433,66,2,2,
European,Slovenia,414,31,1,0,
European,Estonia,326,20,0,0,
European,Croatia,235,29,0,0,
European,Serbia,188,39,0,0,
European,Armenia,190,30,0,0,
European,Bulgaria,185,22,3,0,
European,Slovakia,185,7,0,0,
European,Hungary,167,36,7,3,
European,San Marino,151,0,20,0,
European,Lithuania,143,38,1,0,
European,Latvia,139,15,0,0,
European,Bosnia and Herzegovina,125,33,1,0,
European,North Macedonia,114,29,1,1,
European,Andorra,113,25,0,0,
European,Cyprus,95,11,0,0,
European,Republic of Moldova,94,14,1,0,
European,Malta,90,17,0,0,
European,Albania,89,13,2,0,
European,Belarus,76,0,0,0,
European,Azerbaijan,65,12,1,0,
European,Kazakhstan,60,4,0,0,
European,Georgia,54,5,0,0,
European,Ukraine,47,0,3,0,
European,Liechtenstein,46,10,0,0,
European,Uzbekistan,46,13,0,0,
European,Monaco,23,5,0,0,
European,Montenegro,21,7,0,0,
European,Kyrgyzstan,14,0,0,0,
European,Holy See,1,0,0,0,
European Territories,Faroe Islands,115,23,0,0,
European Territories,Kosovo,31,7,1,1,
European Territories,Guernsey,17,16,0,0,
European Territories,Gibraltar,15,5,0,0,
European Territories,Jersey,15,3,0,0,
European Territories,Greenland,2,0,0,0,
European Territories,Isle of Man,2,0,0,0,
South-East Asia ,Thailand,721,310,1,0,
South-East Asia ,Indonesia,514,64,48,10,
South-East Asia ,India,415,132,7,3,
South-East Asia ,Sri Lanka,82,10,0,0,
South-East Asia ,Bangladesh,27,3,2,0,
South-East Asia ,Maldives,13,0,0,0,
South-East Asia ,Bhutan,2,0,0,0,
South-East Asia ,Nepal,1,0,0,0,
South-East Asia ,Timor-Leste,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),21638,1028,1685,129,
Eastern Mediterranean ,Pakistan,784,289,5,2,
Eastern Mediterranean ,Saudi Arabia,511,119,0,0,
Eastern Mediterranean ,Qatar,494,24,0,0,
